request_type,department,officer_workload,queue_size,priority,medical_urgency,legal_urgency,citizen_category,escalation_count,base_days,sla_limit_days,processing_days,delayed,sla_breached,officer_id,is_anomaly,anomaly_type
Scholarship Request,Social Welfare,14,151,High,0,0,ST,0,12.0,15.0,26.98,1,1,110,0,None
Pension Request,Social Welfare,14,122,Medium,0,0,General,0,18.0,21.0,49.84,1,1,104,0,None
Complaint Registration,Complaints,26,149,High,0,0,Senior Citizen,0,15.0,20.0,39.79,1,1,107,0,None
Scholarship Request,Social Welfare,16,75,Low,0,0,General,1,12.0,15.0,55.23,1,1,103,0,None
Complaint Registration,Complaints,22,172,Low,0,0,General,0,15.0,20.0,76.59,1,1,108,0,None
Complaint Registration,Complaints,14,132,Medium,0,0,SC,0,15.0,20.0,45.64,1,1,112,0,None
Caste Certificate,Revenue,32,273,High,0,0,ST,0,7.0,10.0,25.81,1,1,112,0,None
Income Certificate,Revenue,16,120,Low,0,0,General,0,5.0,7.0,19.46,1,1,108,0,None
Business License,Commercial,12,70,Low,0,0,General,0,20.0,25.0,60.43,1,1,105,0,None
Land Approval,Land,13,118,Medium,0,0,OBC,1,30.0,45.0,120.76,1,1,113,0,None
Business License,Commercial,14,91,High,0,1,Differently Abled,0,20.0,25.0,35.14,1,1,112,0,None
Complaint Registration,Complaints,13,100,Low,0,0,OBC,1,15.0,20.0,71.23,1,1,102,0,None
Complaint Registration,Complaints,15,151,Medium,0,0,SC,0,15.0,20.0,52.76,1,1,109,0,None
Pension Request,Social Welfare,15,74,Medium,0,0,OBC,0,18.0,21.0,39.86,1,1,106,0,None
Land Approval,Land,25,132,High,0,0,OBC,0,30.0,45.0,79.01,1,1,106,0,None
Caste Certificate,Revenue,28,204,Low,0,0,OBC,0,7.0,10.0,40.46,1,1,105,0,None
Business License,Commercial,15,137,Low,0,0,OBC,0,20.0,25.0,77.04,1,1,110,0,None
Pension Request,Social Welfare,16,120,High,0,0,OBC,0,18.0,21.0,38.91,1,1,109,0,None
Income Certificate,Revenue,21,78,Low,0,0,General,1,5.0,7.0,25.43,1,1,112,0,None
Scholarship Request,Social Welfare,16,153,High,0,0,SC,0,12.0,15.0,30.87,1,1,108,0,None
General Service Request,Revenue,10,46,Medium,0,0,OBC,1,6.0,10.0,17.68,1,1,103,0,None
General Service Request,Revenue,24,158,Low,0,0,General,0,6.0,10.0,29.33,1,1,104,0,None
Pension Request,Social Welfare,38,166,Low,0,0,ST,3,18.0,21.0,234.15,1,1,101,0,None
Scholarship Request,Social Welfare,18,162,Medium,0,0,OBC,2,12.0,15.0,77.22,1,1,106,0,None
Land Approval,Land,13,95,Medium,0,0,OBC,0,30.0,45.0,80.7,1,1,113,0,None
General Service Request,Revenue,22,107,Critical,0,1,OBC,0,6.0,10.0,7.07,0,0,112,0,None
Business License,Commercial,26,177,Medium,0,0,General,0,20.0,25.0,78.08,1,1,108,0,None
Income Certificate,Revenue,8,41,Medium,0,0,General,1,5.0,7.0,11.22,1,1,109,0,None
Caste Certificate,Revenue,41,245,Low,0,0,OBC,0,7.0,10.0,49.89,1,1,106,0,None
Income Certificate,Revenue,35,167,Medium,0,0,Senior Citizen,0,5.0,7.0,22.25,1,1,114,0,None
Pension Request,Social Welfare,20,128,Medium,0,0,SC,0,18.0,21.0,62.58,1,1,106,0,None
General Service Request,Revenue,25,121,Medium,0,0,SC,0,6.0,10.0,20.41,1,1,101,0,None
Business License,Commercial,31,132,Medium,0,0,SC,0,20.0,25.0,71.19,1,1,112,0,None
General Service Request,Revenue,9,89,Low,0,0,General,2,6.0,10.0,32.58,1,1,112,0,None
Scholarship Request,Social Welfare,17,90,Critical,0,0,Senior Citizen,1,12.0,15.0,20.93,1,1,114,0,None
Income Certificate,Revenue,31,144,Low,0,0,SC,0,5.0,7.0,24.98,1,1,102,0,None
Pension Request,Social Welfare,39,249,Medium,0,0,General,1,18.0,21.0,140.21,1,1,110,0,None
Caste Certificate,Revenue,10,50,Medium,0,0,General,2,7.0,10.0,24.02,1,1,110,0,None
Income Certificate,Revenue,15,78,Medium,0,0,OBC,0,5.0,7.0,12.15,1,1,108,0,None
Residence Certificate,Revenue,14,132,High,0,1,General,3,4.0,7.0,18.53,1,1,110,0,None
General Service Request,Revenue,24,199,High,0,0,General,1,6.0,10.0,25.78,1,1,101,0,None
Business License,Commercial,25,135,Low,0,0,OBC,0,20.0,25.0,92.07,1,1,106,0,None
Residence Certificate,Revenue,29,173,Low,0,0,General,0,4.0,7.0,20.59,1,1,107,0,None
Residence Certificate,Revenue,18,99,Medium,0,0,OBC,0,4.0,7.0,12.08,1,1,114,0,None
Business License,Commercial,11,107,High,0,0,SC,0,20.0,25.0,36.63,1,1,108,0,None
Land Approval,Land,12,80,Medium,0,0,Senior Citizen,0,30.0,45.0,75.08,1,1,107,0,None
Business License,Commercial,42,358,Low,0,0,ST,0,20.0,25.0,170.43,1,1,112,0,None
Pension Request,Social Welfare,19,136,Medium,0,0,OBC,0,18.0,21.0,57.24,1,1,101,0,None
Business License,Commercial,25,127,Medium,0,0,General,0,20.0,25.0,70.66,1,1,101,0,None
General Service Request,Revenue,21,162,Low,0,0,ST,0,6.0,10.0,27.48,1,1,106,0,None
Residence Certificate,Revenue,26,210,Medium,0,0,General,0,4.0,7.0,17.43,1,1,102,0,None
Land Approval,Land,19,149,Critical,0,1,ST,0,30.0,45.0,45.09,1,1,112,0,None
Business License,Commercial,32,196,High,0,0,ST,0,20.0,25.0,62.81,1,1,112,0,None
Scholarship Request,Social Welfare,26,122,High,0,0,General,0,12.0,15.0,31.0,1,1,107,0,None
Pension Request,Social Welfare,19,109,Medium,0,0,General,0,18.0,21.0,58.76,1,1,104,0,None
Pension Request,Social Welfare,15,134,Low,0,0,General,0,18.0,21.0,70.18,1,1,104,0,None
Income Certificate,Revenue,22,147,Medium,0,0,Senior Citizen,0,5.0,7.0,17.99,1,1,101,0,None
General Service Request,Revenue,33,213,Medium,0,0,OBC,3,6.0,10.0,63.56,1,1,112,0,None
Land Approval,Land,10,97,Critical,1,0,OBC,0,30.0,45.0,22.48,0,0,109,0,None
Complaint Registration,Complaints,21,119,Medium,0,0,General,0,15.0,20.0,51.67,1,1,103,0,None
Complaint Registration,Complaints,12,121,High,0,0,Differently Abled,1,15.0,20.0,41.18,1,1,113,0,None
Residence Certificate,Revenue,27,234,Medium,0,0,OBC,0,4.0,7.0,19.39,1,1,112,0,None
Business License,Commercial,16,134,Medium,0,0,Senior Citizen,0,20.0,25.0,59.75,1,1,107,0,None
Caste Certificate,Revenue,25,131,Medium,0,0,General,0,7.0,10.0,25.56,1,1,105,0,None
Caste Certificate,Revenue,13,85,Low,0,0,General,0,7.0,10.0,22.91,1,1,112,0,None
Caste Certificate,Revenue,6,52,Critical,1,0,SC,0,7.0,10.0,6.21,0,0,114,0,None
Business License,Commercial,19,155,High,0,0,General,1,20.0,25.0,70.01,1,1,111,0,None
Scholarship Request,Social Welfare,7,59,Low,0,0,Senior Citizen,0,12.0,15.0,29.8,1,1,111,0,None
Land Approval,Land,19,114,Low,0,0,General,0,30.0,45.0,115.38,1,1,108,0,None
General Service Request,Revenue,15,95,Low,0,0,General,1,6.0,10.0,27.33,1,1,111,0,None
Income Certificate,Revenue,27,177,Medium,0,0,General,0,5.0,7.0,19.99,1,1,106,0,None
Income Certificate,Revenue,6,62,Low,0,0,ST,1,5.0,7.0,18.42,1,1,108,0,None
Income Certificate,Revenue,22,127,Low,0,0,General,0,5.0,7.0,22.23,1,1,110,0,None
Business License,Commercial,37,292,Low,0,0,General,0,20.0,25.0,153.24,1,1,111,0,None
Income Certificate,Revenue,17,132,Medium,0,0,General,0,5.0,7.0,15.21,1,1,104,0,None
Caste Certificate,Revenue,13,120,Critical,1,0,General,0,7.0,10.0,7.39,0,0,102,0,None
Business License,Commercial,15,76,High,0,0,General,0,20.0,25.0,0.71,0,0,108,1,fast_approval
Caste Certificate,Revenue,11,87,Low,0,0,OBC,0,7.0,10.0,22.08,1,1,108,0,None
Business License,Commercial,11,52,High,0,0,General,0,20.0,25.0,25.66,1,1,109,0,None
Residence Certificate,Revenue,17,157,Medium,0,0,OBC,0,4.0,7.0,12.88,1,1,103,0,None
Complaint Registration,Complaints,13,118,Critical,1,1,General,0,15.0,20.0,19.78,1,0,104,0,None
Scholarship Request,Social Welfare,11,70,Low,0,0,General,0,12.0,15.0,34.95,1,1,102,0,None
Complaint Registration,Complaints,17,69,Low,0,0,General,0,15.0,20.0,48.31,1,1,112,0,None
General Service Request,Revenue,13,122,Medium,0,0,SC,0,6.0,10.0,16.32,1,1,108,0,None
Business License,Commercial,17,126,High,0,0,General,3,20.0,25.0,96.05,1,1,103,0,None
Caste Certificate,Revenue,16,72,Critical,0,0,General,0,7.0,10.0,6.75,0,0,103,0,None
Complaint Registration,Complaints,24,206,High,0,1,OBC,1,15.0,20.0,63.62,1,1,114,0,None
Caste Certificate,Revenue,16,157,Critical,0,0,SC,0,7.0,10.0,9.22,1,0,111,0,None
Caste Certificate,Revenue,18,109,Medium,0,0,OBC,0,7.0,10.0,20.85,1,1,106,0,None
Business License,Commercial,11,96,Medium,0,0,General,1,20.0,25.0,73.21,1,1,110,0,None
General Service Request,Revenue,18,132,Low,0,0,General,0,6.0,10.0,25.95,1,1,101,0,None
Land Approval,Land,18,103,Medium,0,0,OBC,0,30.0,45.0,97.96,1,1,112,0,None
Caste Certificate,Revenue,9,64,Low,0,0,ST,0,7.0,10.0,19.39,1,1,108,0,None
Pension Request,Social Welfare,17,122,Medium,0,0,OBC,0,18.0,21.0,53.41,1,1,110,0,None
Scholarship Request,Social Welfare,22,143,Medium,0,0,SC,0,12.0,15.0,41.44,1,1,114,0,None
Business License,Commercial,28,260,Medium,0,0,General,0,20.0,25.0,100.64,1,1,106,0,None
Scholarship Request,Social Welfare,24,177,Medium,0,0,ST,0,12.0,15.0,45.83,1,1,108,0,None
General Service Request,Revenue,23,156,Medium,0,0,Senior Citizen,0,6.0,10.0,22.11,1,1,109,0,None
Land Approval,Land,13,86,Critical,0,1,SC,2,30.0,45.0,56.75,1,1,107,0,None
Caste Certificate,Revenue,12,88,Medium,0,0,General,1,7.0,10.0,24.86,1,1,113,0,None
Income Certificate,Revenue,15,119,Medium,0,0,ST,1,5.0,7.0,19.27,1,1,107,0,None
Business License,Commercial,15,102,Medium,0,0,General,0,20.0,25.0,54.13,1,1,104,0,None
Complaint Registration,Complaints,30,226,High,0,1,General,0,15.0,20.0,54.08,1,1,101,0,None
Caste Certificate,Revenue,21,138,Medium,0,0,General,0,7.0,10.0,22.61,1,1,112,0,None
General Service Request,Revenue,14,87,Critical,1,0,General,0,6.0,10.0,7.13,0,0,104,0,None
Scholarship Request,Social Welfare,15,92,Medium,0,0,General,0,12.0,15.0,32.6,1,1,112,0,None
Caste Certificate,Revenue,17,79,Low,0,0,OBC,0,7.0,10.0,24.22,1,1,108,0,None
General Service Request,Revenue,14,118,Medium,0,0,General,0,6.0,10.0,17.12,1,1,114,0,None
Caste Certificate,Revenue,15,135,Medium,0,0,OBC,0,7.0,10.0,22.45,1,1,103,0,None
Income Certificate,Revenue,25,206,Low,0,0,General,0,5.0,7.0,25.66,1,1,103,0,None
General Service Request,Revenue,15,65,Medium,0,0,OBC,0,6.0,10.0,14.28,1,1,107,0,None
Land Approval,Land,32,275,Low,0,0,OBC,0,30.0,45.0,208.29,1,1,105,0,None
Business License,Commercial,22,180,Low,0,0,General,0,20.0,25.0,98.84,1,1,108,0,None
Business License,Commercial,20,188,Medium,0,0,General,0,20.0,25.0,78.41,1,1,108,0,None
Pension Request,Social Welfare,17,103,Medium,0,0,SC,0,18.0,21.0,50.17,1,1,102,0,None
Pension Request,Social Welfare,24,142,Low,0,0,SC,0,18.0,21.0,86.12,1,1,102,0,None
General Service Request,Revenue,15,112,High,0,0,General,2,6.0,10.0,21.5,1,1,110,0,None
Residence Certificate,Revenue,27,203,Critical,0,0,General,0,4.0,7.0,6.52,1,0,114,0,None
Land Approval,Land,20,187,Low,0,0,SC,1,30.0,45.0,213.61,1,1,114,0,None
Land Approval,Land,29,163,Low,0,0,SC,0,30.0,45.0,151.84,1,1,101,0,None
Land Approval,Land,11,69,Medium,0,0,General,0,30.0,45.0,68.76,1,1,112,0,None
General Service Request,Revenue,12,134,Critical,0,1,ST,2,6.0,10.0,12.4,1,1,102,1,high_rejections
Complaint Registration,Complaints,16,119,Medium,0,0,General,0,15.0,20.0,45.86,1,1,108,0,None
Residence Certificate,Revenue,24,181,High,1,0,General,0,4.0,7.0,10.92,1,1,103,0,None
Caste Certificate,Revenue,27,137,Critical,1,0,ST,0,7.0,10.0,10.57,1,1,108,0,None
Complaint Registration,Complaints,20,143,Critical,0,1,General,0,15.0,20.0,23.29,1,1,111,0,None
Caste Certificate,Revenue,16,134,Critical,0,1,OBC,0,7.0,10.0,8.38,0,0,111,0,None
Land Approval,Land,16,121,High,0,0,General,0,30.0,45.0,68.81,1,1,110,0,None
Complaint Registration,Complaints,18,173,Low,0,0,OBC,2,15.0,20.0,129.33,1,1,106,0,None
Caste Certificate,Revenue,31,162,Medium,0,0,General,0,7.0,10.0,32.74,1,1,107,0,None
Pension Request,Social Welfare,10,64,Medium,0,0,ST,0,18.0,21.0,40.35,1,1,106,0,None
Income Certificate,Revenue,38,295,Low,0,0,General,1,5.0,7.0,52.13,1,1,104,0,None
Income Certificate,Revenue,17,108,Low,0,0,General,0,5.0,7.0,19.84,1,1,107,0,None
General Service Request,Revenue,19,158,Medium,0,0,OBC,0,6.0,10.0,21.9,1,1,110,0,None
Pension Request,Social Welfare,24,196,Low,0,0,OBC,1,18.0,21.0,142.2,1,1,113,0,None
Land Approval,Land,14,127,Low,0,0,General,0,30.0,45.0,120.95,1,1,109,0,None
Land Approval,Land,16,117,Medium,0,0,General,1,30.0,45.0,118.96,1,1,102,0,None
Complaint Registration,Complaints,48,293,Low,0,0,General,0,15.0,20.0,122.12,1,1,111,0,None
Pension Request,Social Welfare,12,100,Medium,0,0,General,1,18.0,21.0,63.76,1,1,107,0,None
Land Approval,Land,21,137,Medium,0,0,General,0,30.0,45.0,100.06,1,1,113,0,None
Caste Certificate,Revenue,19,162,Medium,0,0,General,0,7.0,10.0,24.37,1,1,104,0,None
General Service Request,Revenue,10,61,Medium,0,0,General,0,6.0,10.0,12.64,1,1,105,0,None
Business License,Commercial,11,84,Medium,0,0,General,3,20.0,25.0,103.1,1,1,107,0,None
General Service Request,Revenue,31,192,Medium,0,0,General,1,6.0,10.0,39.46,1,1,110,0,None
Pension Request,Social Welfare,8,67,Low,0,0,SC,1,18.0,21.0,64.24,1,1,107,0,None
Pension Request,Social Welfare,37,187,Medium,0,0,General,1,18.0,21.0,120.68,1,1,108,0,None
Scholarship Request,Social Welfare,18,103,Medium,0,0,ST,0,12.0,15.0,34.13,1,1,108,0,None
Caste Certificate,Revenue,31,246,Critical,0,0,OBC,0,7.0,10.0,13.88,1,1,104,0,None
Pension Request,Social Welfare,14,67,Medium,0,0,General,0,18.0,21.0,43.65,1,1,113,0,None
Pension Request,Social Welfare,15,86,Low,0,0,OBC,0,18.0,21.0,60.05,1,1,106,0,None
Complaint Registration,Complaints,22,114,Low,0,0,General,0,15.0,20.0,64.05,1,1,103,0,None
Scholarship Request,Social Welfare,32,172,Medium,0,0,General,0,12.0,15.0,53.24,1,1,102,0,None
Residence Certificate,Revenue,18,128,Medium,0,0,SC,0,4.0,7.0,13.12,1,1,111,0,None
Income Certificate,Revenue,11,66,High,0,0,General,2,5.0,7.0,13.26,1,1,102,0,None
Complaint Registration,Complaints,17,152,Low,0,0,SC,0,15.0,20.0,62.47,1,1,104,0,None
Caste Certificate,Revenue,29,215,High,0,0,OBC,0,7.0,10.0,22.21,1,1,114,0,None
General Service Request,Revenue,21,155,Medium,0,0,OBC,0,6.0,10.0,20.81,1,1,107,0,None
Caste Certificate,Revenue,33,130,Medium,0,0,General,1,7.0,10.0,39.29,1,1,109,0,None
Pension Request,Social Welfare,40,168,Low,0,0,OBC,0,18.0,21.0,109.86,1,1,110,0,None
Business License,Commercial,18,76,Medium,0,0,General,0,20.0,25.0,57.6,1,1,101,0,None
Caste Certificate,Revenue,18,149,Low,0,0,General,0,7.0,10.0,31.41,1,1,108,0,None
General Service Request,Revenue,15,99,Low,0,0,General,0,6.0,10.0,21.57,1,1,112,0,None
Caste Certificate,Revenue,12,74,Low,0,0,SC,0,7.0,10.0,21.12,1,1,110,0,None
Income Certificate,Revenue,31,167,Critical,0,0,General,0,5.0,7.0,0.56,0,0,111,1,fast_approval
Scholarship Request,Social Welfare,18,103,Critical,0,1,General,0,12.0,15.0,16.13,1,1,109,0,None
Residence Certificate,Revenue,25,189,Medium,0,0,ST,2,4.0,7.0,29.13,1,1,106,0,None
Scholarship Request,Social Welfare,18,117,Medium,0,0,Senior Citizen,0,12.0,15.0,36.09,1,1,110,0,None
Complaint Registration,Complaints,32,192,Low,0,0,OBC,0,15.0,20.0,86.06,1,1,107,0,None
Pension Request,Social Welfare,22,156,Medium,0,0,General,0,18.0,21.0,67.33,1,1,107,0,None
Residence Certificate,Revenue,24,167,Medium,0,0,Senior Citizen,0,4.0,7.0,15.52,1,1,104,0,None
Income Certificate,Revenue,20,116,Low,0,0,General,0,5.0,7.0,20.66,1,1,106,0,None
Land Approval,Land,16,168,Medium,0,0,SC,0,30.0,45.0,107.83,1,1,105,0,None
Caste Certificate,Revenue,10,100,Medium,0,0,General,1,7.0,10.0,25.36,1,1,105,0,None
Caste Certificate,Revenue,11,86,Critical,0,1,General,0,7.0,10.0,6.78,0,0,113,0,None
Residence Certificate,Revenue,18,163,Low,0,0,SC,0,4.0,7.0,18.18,1,1,112,0,None
Residence Certificate,Revenue,16,152,Medium,0,0,SC,0,4.0,7.0,13.38,1,1,101,0,None
Income Certificate,Revenue,31,215,Critical,0,0,General,0,5.0,7.0,10.5,1,1,111,0,None
Business License,Commercial,19,168,High,0,0,Senior Citizen,0,20.0,25.0,45.93,1,1,110,0,None
Scholarship Request,Social Welfare,11,112,Medium,0,0,ST,0,12.0,15.0,31.4,1,1,102,0,None
Residence Certificate,Revenue,34,145,Medium,0,0,ST,0,4.0,7.0,16.84,1,1,105,0,None
Residence Certificate,Revenue,30,218,Critical,0,1,OBC,2,4.0,7.0,12.27,1,1,114,0,None
Residence Certificate,Revenue,16,111,Critical,1,0,General,0,4.0,7.0,4.01,0,0,105,0,None
Pension Request,Social Welfare,25,148,Medium,0,0,OBC,0,18.0,21.0,68.05,1,1,106,0,None
Pension Request,Social Welfare,12,73,High,0,0,General,0,18.0,21.0,29.09,1,1,103,0,None
Income Certificate,Revenue,14,107,Medium,0,0,SC,0,5.0,7.0,13.39,1,1,111,0,None
Residence Certificate,Revenue,19,72,Medium,0,0,General,0,4.0,7.0,10.62,1,1,106,0,None
Income Certificate,Revenue,31,215,Low,0,0,General,0,5.0,7.0,30.78,1,1,107,0,None
Complaint Registration,Complaints,21,199,Medium,0,0,OBC,0,15.0,20.0,60.18,1,1,112,0,None
Residence Certificate,Revenue,18,157,Low,0,0,Senior Citizen,0,4.0,7.0,18.69,1,1,106,0,None
Residence Certificate,Revenue,21,171,High,0,0,General,0,4.0,7.0,10.04,1,1,108,0,None
Caste Certificate,Revenue,17,168,Low,0,0,OBC,0,7.0,10.0,31.78,1,1,108,0,None
General Service Request,Revenue,18,112,Low,0,0,OBC,0,6.0,10.0,24.38,1,1,101,0,None
Land Approval,Land,34,252,Low,0,0,OBC,0,30.0,45.0,209.89,1,1,110,0,None
Pension Request,Social Welfare,30,200,Low,0,0,ST,0,18.0,21.0,108.79,1,1,111,0,None
Scholarship Request,Social Welfare,23,149,High,0,1,OBC,0,12.0,15.0,31.34,1,1,108,0,None
Caste Certificate,Revenue,16,87,Medium,0,0,General,0,7.0,10.0,20.29,1,1,103,0,None
Business License,Commercial,18,133,Low,0,0,OBC,0,20.0,25.0,82.65,1,1,104,0,None
Scholarship Request,Social Welfare,18,151,Medium,0,0,ST,0,12.0,15.0,41.54,1,1,104,0,None
Complaint Registration,Complaints,22,173,Medium,0,0,General,2,15.0,20.0,100.49,1,1,102,0,None
Scholarship Request,Social Welfare,21,130,Critical,0,0,OBC,1,12.0,15.0,19.21,1,1,111,0,None
Land Approval,Land,15,114,Medium,0,0,General,1,30.0,45.0,117.75,1,1,107,0,None
Scholarship Request,Social Welfare,20,133,High,0,0,General,0,12.0,15.0,25.3,1,1,101,0,None
Business License,Commercial,10,84,Medium,0,0,General,0,20.0,25.0,50.25,1,1,112,0,None
Land Approval,Land,16,89,Medium,0,0,General,0,30.0,45.0,81.06,1,1,109,0,None
Caste Certificate,Revenue,19,190,Medium,0,0,Differently Abled,0,7.0,10.0,27.12,1,1,106,0,None
Land Approval,Land,10,43,Medium,0,0,General,0,30.0,45.0,60.41,1,1,110,0,None
Complaint Registration,Complaints,32,237,High,0,0,OBC,0,15.0,20.0,53.46,1,1,104,0,None
Land Approval,Land,21,165,Medium,0,0,General,0,30.0,45.0,102.58,1,1,105,0,None
Residence Certificate,Revenue,15,116,Medium,0,0,OBC,1,4.0,7.0,16.08,1,1,108,0,None
Business License,Commercial,29,162,Medium,0,0,General,1,20.0,25.0,114.24,1,1,103,0,None
Scholarship Request,Social Welfare,16,123,Medium,0,0,OBC,0,12.0,15.0,38.85,1,1,104,0,None
Pension Request,Social Welfare,28,210,Low,0,0,OBC,0,18.0,21.0,104.0,1,1,105,0,None
Residence Certificate,Revenue,11,123,Medium,0,0,General,2,4.0,7.0,20.74,1,1,102,0,None
Scholarship Request,Social Welfare,16,99,Low,0,0,General,0,12.0,15.0,40.59,1,1,108,0,None
Land Approval,Land,18,136,Medium,0,0,ST,1,30.0,45.0,139.73,1,1,107,1,high_rejections
Complaint Registration,Complaints,17,107,Critical,1,0,General,0,15.0,20.0,20.53,1,1,105,0,None
General Service Request,Revenue,11,97,Medium,0,0,General,0,6.0,10.0,14.95,1,1,102,0,None
Caste Certificate,Revenue,16,124,Low,0,0,SC,0,7.0,10.0,27.48,1,1,109,0,None
Scholarship Request,Social Welfare,14,94,Medium,0,0,General,2,12.0,15.0,57.29,1,1,114,0,None
Business License,Commercial,10,71,Medium,0,0,General,0,20.0,25.0,51.37,1,1,113,0,None
Income Certificate,Revenue,22,171,Medium,0,0,OBC,0,5.0,7.0,20.13,1,1,105,0,None
Income Certificate,Revenue,9,70,Low,0,0,ST,1,5.0,7.0,19.51,1,1,101,0,None
Income Certificate,Revenue,20,114,High,0,0,SC,0,5.0,7.0,11.56,1,1,101,0,None
Caste Certificate,Revenue,28,188,Low,0,0,General,0,7.0,10.0,38.15,1,1,110,0,None
Business License,Commercial,6,46,Medium,0,0,OBC,1,20.0,25.0,47.15,1,1,112,0,None
General Service Request,Revenue,44,184,Low,0,0,OBC,3,6.0,10.0,85.84,1,1,114,0,None
Pension Request,Social Welfare,26,143,Critical,0,1,SC,0,18.0,21.0,29.44,1,1,107,0,None
Caste Certificate,Revenue,16,140,Low,0,0,ST,0,7.0,10.0,28.28,1,1,107,0,None
Caste Certificate,Revenue,34,236,Medium,0,0,General,0,7.0,10.0,34.58,1,1,108,0,None
Residence Certificate,Revenue,25,139,Low,0,0,OBC,1,4.0,7.0,26.39,1,1,108,0,None
Pension Request,Social Welfare,21,171,Critical,1,0,OBC,1,18.0,21.0,42.93,1,1,101,0,None
Income Certificate,Revenue,29,171,Medium,0,0,General,0,5.0,7.0,21.2,1,1,105,0,None
Pension Request,Social Welfare,7,54,Medium,0,0,General,0,18.0,21.0,29.21,1,1,113,0,None
Scholarship Request,Social Welfare,18,129,High,0,0,Senior Citizen,3,12.0,15.0,60.1,1,1,107,0,None
Business License,Commercial,20,149,Low,0,0,SC,0,20.0,25.0,89.31,1,1,114,0,None
Land Approval,Land,12,110,Low,0,0,OBC,0,30.0,45.0,105.78,1,1,104,0,None
Land Approval,Land,40,321,Medium,0,0,OBC,0,30.0,45.0,185.18,1,1,105,0,None
Income Certificate,Revenue,9,75,Low,0,0,OBC,1,5.0,7.0,19.33,1,1,111,0,None
Pension Request,Social Welfare,39,276,High,0,1,General,2,18.0,21.0,130.67,1,1,107,0,None
Pension Request,Social Welfare,21,168,Medium,0,0,Senior Citizen,0,18.0,21.0,66.74,1,1,111,0,None
Income Certificate,Revenue,28,131,Low,0,0,General,0,5.0,7.0,24.92,1,1,105,0,None
Land Approval,Land,16,121,High,0,0,OBC,0,30.0,45.0,64.05,1,1,102,0,None
Business License,Commercial,14,129,High,1,0,General,0,20.0,25.0,45.32,1,1,114,0,None
Complaint Registration,Complaints,33,206,Low,0,0,General,0,15.0,20.0,89.72,1,1,107,0,None
Income Certificate,Revenue,27,132,Low,0,0,OBC,0,5.0,7.0,25.1,1,1,110,0,None
Income Certificate,Revenue,16,90,Medium,0,0,OBC,0,5.0,7.0,13.08,1,1,102,0,None
Business License,Commercial,26,214,Low,0,0,General,0,20.0,25.0,114.25,1,1,102,0,None
Complaint Registration,Complaints,45,394,Critical,0,0,General,0,15.0,20.0,44.46,1,1,106,0,None
Land Approval,Land,19,152,Medium,0,0,OBC,0,30.0,45.0,106.85,1,1,101,0,None
Land Approval,Land,18,75,Medium,0,0,SC,0,30.0,45.0,74.11,1,1,108,0,None
Income Certificate,Revenue,18,185,Medium,0,0,OBC,0,5.0,7.0,18.63,1,1,110,0,None
Land Approval,Land,14,143,Medium,0,0,OBC,0,30.0,45.0,97.84,1,1,109,0,None
Residence Certificate,Revenue,29,197,Medium,0,0,General,0,4.0,7.0,17.49,1,1,101,0,None
Scholarship Request,Social Welfare,20,114,Medium,0,0,ST,0,12.0,15.0,39.51,1,1,101,0,None
Business License,Commercial,18,145,Medium,0,0,General,0,20.0,25.0,63.48,1,1,108,0,None
General Service Request,Revenue,15,134,Low,0,0,General,0,6.0,10.0,24.03,1,1,101,0,None
Pension Request,Social Welfare,21,210,Low,0,0,OBC,0,18.0,21.0,101.15,1,1,102,0,None
Pension Request,Social Welfare,9,81,Low,0,0,SC,0,18.0,21.0,0.52,0,0,114,1,fast_approval
Land Approval,Land,31,269,Medium,0,0,General,0,30.0,45.0,151.56,1,1,102,0,None
Income Certificate,Revenue,10,91,Medium,0,0,OBC,0,5.0,7.0,12.26,1,1,106,0,None
Scholarship Request,Social Welfare,16,119,Medium,0,0,ST,0,12.0,15.0,35.87,1,1,101,0,None
Caste Certificate,Revenue,11,95,Medium,0,0,Senior Citizen,0,7.0,10.0,18.31,1,1,106,0,None
Business License,Commercial,14,106,Critical,1,0,General,0,20.0,25.0,26.54,1,1,104,0,None
Residence Certificate,Revenue,36,308,Low,0,0,OBC,0,4.0,7.0,30.83,1,1,103,0,None
Income Certificate,Revenue,32,157,High,0,0,Senior Citizen,0,5.0,7.0,13.9,1,1,102,0,None
Scholarship Request,Social Welfare,15,121,Low,0,0,General,0,12.0,15.0,44.04,1,1,109,0,None
Pension Request,Social Welfare,24,219,Medium,0,0,Senior Citizen,0,18.0,21.0,79.0,1,1,112,0,None
Land Approval,Land,16,158,Critical,1,0,Senior Citizen,0,30.0,45.0,41.15,1,0,108,0,None
Income Certificate,Revenue,20,135,Medium,0,0,OBC,0,5.0,7.0,16.86,1,1,103,0,None
Complaint Registration,Complaints,14,85,Medium,0,0,Differently Abled,0,15.0,20.0,37.99,1,1,101,0,None
Business License,Commercial,31,210,Medium,0,0,General,2,20.0,25.0,163.85,1,1,108,0,None
Pension Request,Social Welfare,26,189,Low,0,0,OBC,1,18.0,21.0,137.01,1,1,104,0,None
Land Approval,Land,13,81,Critical,1,0,OBC,0,30.0,45.0,27.11,0,0,110,0,None
Land Approval,Land,18,133,Medium,0,0,OBC,0,30.0,45.0,94.44,1,1,102,0,None
